title,year,duration
"9. Three Billboards Outside Ebbing, Missouri",2017,1h 55m
0. Trainspotting,1996,1h 33m
1. The Bridge on the River Kwai,1957,2h 41m
2. Spider-Man: No Way Home,2021,2h 28m
3. Fargo,1996,1h 38m
4. Klaus,2019,1h 36m
5. Warrior,2011,2h 20m
6. Catch Me If You Can,2002,2h 21m
7. Godzilla Minus One,2023,2h 4m
8. Gran Torino,2008,1h 56m
9. My Neighbor Totoro,1988,1h 26m
0. Million Dollar Baby,2004,2h 12m
1. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m
2. Children of Heaven,1997,1h 29m
3. 12 Years a Slave,2013,2h 14m
4. Blade Runner,1982,1h 57m
5. Before Sunrise,1995,1h 41m
6. The Grand Budapest Hotel,2014,1h 39m
7. Ben-Hur,1959,3h 32m
8. Barry Lyndon,1975,3h 5m
9. Gone Girl,2014,2h 29m
0. Hacksaw Ridge,2016,2h 19m
1. The Gold Rush,1925,1h 35m
2. Memories of Murder,2003,2h 12m
3. In the Name of the Father,1993,2h 13m
4. Dead Poets Society,1989,2h 8m
5. On the Waterfront,1954,1h 48m
6. The General,1926,1h 18m
7. The Deer Hunter,1978,3h 3m
8. Wild Tales,2014,2h 2m
9. Mad Max: Fury Road,2015,2h
"0. Monsters, Inc.",2001,1h 32m
1. Sherlock Jr.,1924,45m
2. The Third Man,1949,1h 33m
3. Wild Strawberries,1957,1h 31m
4. The Wages of Fear,1953,2h 11m
5. Jaws,1975,2h 4m
6. How to Train Your Dragon,2010,1h 38m
7. Mary and Max,2009,1h 32m
8. Mr. Smith Goes to Washington,1939,2h 9m
9. Ford v Ferrari,2019,2h 32m
0. Ratatouille,2007,1h 51m
1. The Big Lebowski,1998,1h 57m
2. The Seventh Seal,1957,1h 36m
3. Room,2015,1h 58m
4. Tokyo Story,1953,2h 16m
5. Rocky,1976,2h
6. Logan,2017,2h 17m
7. Spotlight,2015,2h 9m
8. Hotel Rwanda,2004,2h 1m
9. Platoon,1986,2h
0. The Terminator,1984,1h 47m
1. The Passion of Joan of Arc,1928,1h 54m
2. Before Sunset,2004,1h 20m
3. La haine,1995,1h 38m
4. The Best Years of Our Lives,1946,2h 50m
5. The Exorcist,1973,2h 2m
6. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m
7. Jai Bhim,2021,2h 44m
8. Rush,2013,2h 3m
9. Network,1976,2h 1m
0. Stand by Me,1986,1h 29m
1. The Wizard of Oz,1939,1h 42m
2. The Incredibles,2004,1h 55m
3. Hachi: A Dog's Tale,2009,1h 33m
4. My Father and My Son,2005,1h 52m
5. The Handmaiden,2016,2h 25m
6. Into the Wild,2007,2h 28m
7. The Sound of Music,1965,2h 52m
8. The Battle of Algiers,1966,2h 1m
9. The Grapes of Wrath,1940,2h 9m
0. To Be or Not to Be,1942,1h 39m
1. Groundhog Day,1993,1h 41m
2. Amores Perros,2000,2h 34m
3. Rebecca,1940,2h 10m
4. Cool Hand Luke,1967,2h 7m
5. The Iron Giant,1999,1h 26m
6. The Help,2011,2h 26m
7. It Happened One Night,1934,1h 45m
8. Aladdin,1992,1h 30m
9. Dances with Wolves,1990,3h 1m
"0. Paris, Texas",1984,2h 25m
