,title,year,duration,rating
163, V for Vendetta,2005,132,8.2
164," Lock, Stock and Two Smoking Barrels",1998,107,8.1
165, The Secret in Their Eyes,2009,129,8.2
166, Inside Out,2015,95,8.1
167, Raging Bull,1980,129,8.1
168," Three Billboards Outside Ebbing, Missouri",2017,115,8.1
169, Trainspotting,1996,93,8.1
170, The Bridge on the River Kwai,1957,161,8.1
171, Spider-Man: No Way Home,2021,148,8.2
172, Fargo,1996,98,8.1
173, Klaus,2019,96,8.2
174, Warrior,2011,140,8.1
175, Catch Me If You Can,2002,141,8.1
176, Godzilla Minus One,2023,124,8.3
177, Gran Torino,2008,116,8.1
178, My Neighbor Totoro,1988,86,8.1
179, Million Dollar Baby,2004,132,8.1
180, Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1
181, Children of Heaven,1997,89,8.2
182, 12 Years a Slave,2013,134,8.1
183, Blade Runner,1982,117,8.1
184, Before Sunrise,1995,101,8.1
185, The Grand Budapest Hotel,2014,99,8.1
186, Ben-Hur,1959,212,8.1
187, Barry Lyndon,1975,185,8.1
188, Gone Girl,2014,149,8.1
189, Hacksaw Ridge,2016,139,8.1
190, The Gold Rush,1925,95,8.1
191, Memories of Murder,2003,132,8.1
192, In the Name of the Father,1993,133,8.1
193, Dead Poets Society,1989,128,8.1
194, On the Waterfront,1954,108,8.1
195, The General,1926,78,8.1
196, The Deer Hunter,1978,183,8.1
197, Wild Tales,2014,122,8.1
198, Mad Max: Fury Road,2015,120,8.1
199," Monsters, Inc.",2001,92,8.1
200, Sherlock Jr.,1924,45,8.2
201, The Third Man,1949,93,8.1
202, Wild Strawberries,1957,91,8.1
203, The Wages of Fear,1953,131,8.2
204, Jaws,1975,124,8.1
205, How to Train Your Dragon,2010,98,8.1
206, Mary and Max,2009,92,8.1
207, Mr. Smith Goes to Washington,1939,129,8.1
208, Ford v Ferrari,2019,152,8.1
209, Ratatouille,2007,111,8.1
210, The Big Lebowski,1998,117,8.1
211, The Seventh Seal,1957,96,8.1
212, Room,2015,118,8.1
213, Tokyo Story,1953,136,8.1
214, Rocky,1976,120,8.1
215, Logan,2017,137,8.1
216, Spotlight,2015,129,8.1
217, Hotel Rwanda,2004,121,8.1
218, Platoon,1986,120,8.1
219, The Terminator,1984,107,8.1
220, The Passion of Joan of Arc,1928,114,8.1
221, Before Sunset,2004,80,8.1
222, La haine,1995,98,8.1
