title,year,duration,rating
. Braveheart,1995,2h 58m,8.3 (1.1M)
. Avengers: Endgame,2019,3h 1m,8.4 (1.3M)
. Joker,2019,2h 2m,8.4 (1.5M)
. Princess Mononoke,1997,2h 14m,8.3 (432K)
. Good Will Hunting,1997,2h 6m,8.3 (1.1M)
. Your Name.,2016,1h 46m,8.4 (317K)
. Once Upon a Time in America,1984,3h 49m,8.3 (376K)
. High and Low,1963,2h 23m,8.4 (53K)
. 3 Idiots,2009,2h 50m,8.4 (432K)
. Singin' in the Rain,1952,1h 43m,8.3 (260K)
. Oppenheimer,2023,3h,8.3 (697K)
. Capernaum,2018,2h 6m,8.4 (104K)
. Requiem for a Dream,2000,1h 42m,8.3 (896K)
. Come and See,1985,2h 22m,8.4 (96K)
. Toy Story 3,2010,1h 43m,8.3 (890K)
. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3 (1.1M)
. Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3 (1.1M)
. The Hunt,2012,1h 55m,8.3 (362K)
. 2001: A Space Odyssey,1968,2h 29m,8.3 (717K)
. Reservoir Dogs,1992,1h 39m,8.3 (1.1M)
. Ikiru,1952,2h 23m,8.3 (87K)
0. Lawrence of Arabia,1962,3h 38m,8.3 (313K)
1. The Apartment,1960,2h 5m,8.3 (196K)
2. North by Northwest,1959,2h 16m,8.3 (345K)
3. Citizen Kane,1941,1h 59m,8.3 (465K)
4. Vertigo,1958,2h 8m,8.3 (425K)
5. M,1931,1h 39m,8.3 (168K)
6. Incendies,2010,2h 11m,8.3 (198K)
7. Double Indemnity,1944,1h 47m,8.3 (167K)
8. Scarface,1983,2h 50m,8.3 (912K)
9. Amélie,2001,2h 2m,8.3 (792K)
0. Full Metal Jacket,1987,1h 56m,8.3 (788K)
1. A Clockwork Orange,1971,2h 16m,8.3 (879K)
2. Heat,1995,2h 50m,8.3 (716K)
3. Up,2009,1h 36m,8.3 (1.1M)
4. To Kill a Mockingbird,1962,2h 9m,8.3 (332K)
5. The Sting,1973,2h 9m,8.3 (279K)
6. A Separation,2011,2h 3m,8.3 (258K)
7. Indiana Jones and the Last Crusade,1989,2h 7m,8.2 (809K)
8. Die Hard,1988,2h 12m,8.2 (942K)
9. Metropolis,1927,2h 33m,8.3 (185K)
0. Like Stars on Earth,2007,2h 42m,8.3 (206K)
1. Hamilton,2020,2h 40m,8.3 (113K)
2. Snatch,2000,1h 42m,8.2 (907K)
3. L.A. Confidential,1997,2h 18m,8.2 (616K)
4. Bicycle Thieves,1948,1h 29m,8.3 (175K)
5. 1917,2019,1h 59m,8.2 (671K)
6. Taxi Driver,1976,1h 54m,8.2 (916K)
7. Downfall,2004,2h 36m,8.2 (374K)
8. Dangal,2016,2h 41m,8.3 (209K)
9. For a Few Dollars More,1965,2h 12m,8.2 (274K)
0. Batman Begins,2005,2h 20m,8.2 (1.6M)
1. The Wolf of Wall Street,2013,3h,8.2 (1.6M)
2. Some Like It Hot,1959,2h 1m,8.2 (283K)
3. The Kid,1921,1h 8m,8.2 (134K)
4. Green Book,2018,2h 10m,8.2 (565K)
5. The Father,2020,1h 37m,8.2 (191K)
6. Judgment at Nuremberg,1961,2h 59m,8.3 (85K)
7. All About Eve,1950,2h 18m,8.2 (138K)
8. Top Gun: Maverick,2022,2h 10m,8.2 (687K)
9. The Truman Show,1998,1h 43m,8.2 (1.2M)
0. Shutter Island,2010,2h 18m,8.2 (1.4M)
1. There Will Be Blood,2007,2h 38m,8.2 (639K)
2. Casino,1995,2h 58m,8.2 (562K)
3. Ran,1985,2h 40m,8.2 (136K)
4. Jurassic Park,1993,2h 7m,8.2 (1.1M)
5. The Sixth Sense,1999,1h 47m,8.2 (1M)
6. Pan's Labyrinth,2006,1h 58m,8.2 (701K)
7. Unforgiven,1992,2h 10m,8.2 (435K)
8. No Country for Old Men,2007,2h 2m,8.2 (1.1M)
9. A Beautiful Mind,2001,2h 15m,8.2 (984K)
0. The Thing,1982,1h 49m,8.2 (464K)
1. The Treasure of the Sierra Madre,1948,2h 6m,8.2 (132K)
2. Kill Bill: Vol. 1,2003,1h 51m,8.2 (1.2M)
3. Yojimbo,1961,1h 50m,8.2 (131K)
4. Monty Python and the Holy Grail,1975,1h 31m,8.2 (569K)
5. The Great Escape,1963,2h 52m,8.2 (258K)
6. Finding Nemo,2003,1h 40m,8.2 (1.1M)
7. Rashomon,1950,1h 28m,8.2 (180K)
8. Prisoners,2013,2h 33m,8.2 (804K)
9. Howl's Moving Castle,2004,1h 59m,8.2 (446K)
0. The Elephant Man,1980,2h 4m,8.2 (258K)
1. Chinatown,1974,2h 10m,8.1 (348K)
2. Dial M for Murder,1954,1h 45m,8.2 (188K)
3. Gone with the Wind,1939,3h 58m,8.2 (333K)
4. V for Vendetta,2005,2h 12m,8.2 (1.2M)
"5. Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1 (614K)
6. The Secret in Their Eyes,2009,2h 9m,8.2 (222K)
7. Inside Out,2015,1h 35m,8.1 (781K)
8. Raging Bull,1980,2h 9m,8.1 (379K)
"9. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1 (553K)
0. Trainspotting,1996,1h 33m,8.1 (723K)
1. The Bridge on the River Kwai,1957,2h 41m,8.1 (233K)
2. Spider-Man: No Way Home,2021,2h 28m,8.2 (873K)
3. Fargo,1996,1h 38m,8.1 (724K)
4. Klaus,2019,1h 36m,8.2 (189K)
5. Warrior,2011,2h 20m,8.1 (497K)
6. Catch Me If You Can,2002,2h 21m,8.1 (1.1M)
7. Godzilla Minus One,2023,2h 4m,8.3 (47K)
8. Gran Torino,2008,1h 56m,8.1 (813K)
9. My Neighbor Totoro,1988,1h 26m,8.1 (378K)
0. Million Dollar Baby,2004,2h 12m,8.1 (720K)
1. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1 (944K)
2. Children of Heaven,1997,1h 29m,8.2 (80K)
3. 12 Years a Slave,2013,2h 14m,8.1 (739K)
4. Blade Runner,1982,1h 57m,8.1 (820K)
5. Before Sunrise,1995,1h 41m,8.1 (338K)
6. The Grand Budapest Hotel,2014,1h 39m,8.1 (883K)
